date,amount,payee,category,hour_of_day
2024-03-01,15.99,Netflix,entertainment,20
2024-03-01,47.63,CVS Pharmacy,pharmacy,15
2024-03-03,56.43,Shell Gas Station,transport,10
2024-03-05,47.86,Walgreens,pharmacy,15
2024-03-05,70.58,Gas Company,utilities,9
2024-03-08,86.59,Gas Company,utilities,9
2024-03-08,34.83,Walgreens,pharmacy,10
2024-03-08,144.66,Medicare Supplement,insurance,9
2024-03-11,36.11,Shell Gas Station,transport,14
2024-03-13,11.01,McDonalds,dining,11
2024-03-13,54.4,CVS Pharmacy,pharmacy,14
2024-03-13,40.28,Kroger Grocery,groceries,9
2024-03-16,70.59,Walgreens,pharmacy,15
2024-03-16,26.22,Dennys Restaurant,dining,11
2024-03-17,55.92,Walgreens,pharmacy,14
2024-03-17,14.21,Netflix,entertainment,20
2024-03-17,18.14,Walgreens,pharmacy,14
2024-03-18,148.21,Electric Company,utilities,9
2024-03-18,53.4,Shell Gas Station,transport,11
2024-03-21,84.43,Walgreens,pharmacy,10
2024-03-21,88.22,Walgreens,pharmacy,10
2024-03-21,15.5,Dennys Restaurant,dining,17
2024-03-23,897.28,Sunshine Retirement Rent,housing,9
2024-03-23,47.96,Gas Company,utilities,9
2024-03-25,10.67,McDonalds,dining,12
2024-03-27,102.29,Electric Company,utilities,9
2024-03-27,21.57,Dennys Restaurant,dining,11
2024-03-29,890.19,Sunshine Retirement Rent,housing,9
2024-03-29,49.23,Kroger Grocery,groceries,10
2024-03-30,41.91,Gas Company,utilities,9
2024-03-30,51.86,Shell Gas Station,transport,11
2024-03-30,27.12,Dennys Restaurant,dining,17
2024-03-31,12.76,Netflix,entertainment,20
2024-03-31,15.03,Dennys Restaurant,dining,17
